     0.000 T   0.100000E+01
     0.100 T   0.100000E+01
     0.200 T   0.100000E+01
     0.300 T   0.100000E+01
     0.400 T   0.100000E+01
     0.500 T   0.100000E+01
     0.600 T   0.100000E+01
     0.700 T   0.100000E+01
     0.800 T   0.100000E+01
     0.900 T   0.100000E+01
     1.000 T   0.100000E+01
     1.100 T   0.100000E+01
     1.200 T   0.100000E+01
     1.300 T   0.100000E+01
     1.400 T   0.100000E+01
     1.500 T   0.100000E+01
     1.600 T   0.100000E+01
     1.700 T   0.100000E+01
     1.800 T   0.100000E+01
     1.900 T   0.100000E+01
     2.000 T   0.100000E+01
     2.100 T   0.100000E+01
     2.200 T   0.100000E+01
     2.300 T   0.100000E+01
     2.400 T   0.100000E+01
     2.500 T   0.100000E+01
     2.600 T   0.100000E+01
     2.700 T   0.100000E+01
     2.800 T   0.100000E+01
     2.900 T   0.100000E+01
     3.000 T   0.100000E+01
     3.100 T   0.100000E+01
     3.200 T   0.100000E+01
     3.300 T   0.100000E+01
     3.400 T   0.100000E+01
     3.500 T   0.100000E+01
     3.600 T   0.100000E+01
     3.700 T   0.100000E+01
     3.800 T   0.100000E+01
     3.900 T   0.100000E+01
     4.000 T   0.100000E+01
     4.100 T   0.100000E+01
     4.200 T   0.100000E+01
     4.300 T   0.100000E+01
     4.400 T   0.100000E+01
     4.500 T   0.100000E+01
     4.600 T   0.100000E+01
     4.700 T   0.100000E+01
     4.800 T   0.100000E+01
     4.900 T   0.100000E+01
     5.000 T   0.100000E+01
     5.100 T   0.100000E+01
     5.200 T   0.100000E+01
     5.300 T   0.100000E+01
     5.400 T   0.100000E+01
     5.500 T   0.100000E+01
     5.600 T   0.100000E+01
     5.700 T   0.100000E+01
     5.800 T   0.100000E+01
     5.900 T   0.100000E+01
     6.000 T   0.100000E+01
     6.100 T   0.100000E+01
     6.200 T   0.100000E+01
     6.300 T   0.100000E+01
     6.400 T   0.100000E+01
     6.500 T   0.100000E+01
     6.600 T   0.100000E+01
     6.700 T   0.100000E+01
     6.800 T   0.100000E+01
     6.900 T   0.100000E+01
     7.000 T   0.100000E+01
     7.100 T   0.100000E+01
     7.200 T   0.100000E+01
     7.300 T   0.100000E+01
     7.400 T   0.100000E+01
     7.500 T   0.100000E+01
     7.600 T   0.100000E+01
     7.700 T   0.100000E+01
     7.800 T   0.100000E+01
     7.900 T   0.100000E+01
     8.000 T   0.100000E+01
     8.100 T   0.100000E+01
     8.200 T   0.100000E+01
     8.300 T   0.100000E+01
     8.400 T   0.100000E+01
     8.500 T   0.100000E+01
     8.600 T   0.100000E+01
     8.700 T   0.100000E+01
     8.800 T   0.100000E+01
     8.900 T   0.100000E+01
     9.000 T   0.100000E+01
     9.100 T   0.100000E+01
     9.200 T   0.100000E+01
     9.300 T   0.100000E+01
     9.400 T   0.100000E+01
     9.500 T   0.100000E+01
     9.600 T   0.100000E+01
     9.700 T   0.100000E+01
     9.800 T   0.100000E+01
     9.900 T   0.100000E+01
    10.000 T   0.100000E+01
    10.100 T   0.100000E+01
    10.200 T   0.100000E+01
    10.300 T   0.100000E+01
    10.400 T   0.100000E+01
    10.500 T   0.100000E+01
    10.600 T   0.100000E+01
    10.700 T   0.100000E+01
    10.800 T   0.100000E+01
    10.900 T   0.100000E+01
    11.000 T   0.100000E+01
    11.100 T   0.100000E+01
    11.200 T   0.100000E+01
    11.300 T   0.100000E+01
    11.400 T   0.100000E+01
    11.500 T   0.100000E+01
    11.600 T   0.100000E+01
    11.700 T   0.100000E+01
    11.800 T   0.100000E+01
    11.900 T   0.100000E+01
    12.000 T   0.100000E+01
    12.100 T   0.100000E+01
    12.200 T   0.100000E+01
    12.300 T   0.100000E+01
    12.400 T   0.100000E+01
    12.500 T   0.100000E+01
    12.600 T   0.100000E+01
    12.700 T   0.100000E+01
    12.800 T   0.100000E+01
    12.900 T   0.100000E+01
    13.000 T   0.100000E+01
    13.100 T   0.100000E+01
    13.200 T   0.100000E+01
    13.300 T   0.100000E+01
    13.400 T   0.100000E+01
    13.500 T   0.100000E+01
    13.600 T   0.100000E+01
    13.700 T   0.100000E+01
    13.800 T   0.100000E+01
    13.900 T   0.100000E+01
    14.000 T   0.100000E+01
    14.100 T   0.100000E+01
    14.200 T   0.100000E+01
    14.300 T   0.100000E+01
    14.400 T   0.100000E+01
    14.500 T   0.100000E+01
    14.600 T   0.100000E+01
    14.700 T   0.100000E+01
    14.800 T   0.100000E+01
    14.900 T   0.100000E+01
    15.000 T   0.100000E+01
    15.100 T   0.100000E+01
    15.200 T   0.100000E+01
    15.300 T   0.100000E+01
    15.400 T   0.100000E+01
    15.500 T   0.100000E+01
    15.600 T   0.100000E+01
    15.700 T   0.100000E+01
    15.800 T   0.100000E+01
    15.900 T   0.100000E+01
    16.000 T   0.100000E+01
    16.100 T   0.100000E+01
    16.200 T   0.100000E+01
    16.300 T   0.100000E+01
    16.400 T   0.100000E+01
    16.500 T   0.100000E+01
    16.600 T   0.100000E+01
    16.700 T   0.100000E+01
    16.800 T   0.100000E+01
    16.900 T   0.100000E+01
    17.000 T   0.100000E+01
    17.100 T   0.100000E+01
    17.200 T   0.100000E+01
    17.300 T   0.100000E+01
    17.400 T   0.100000E+01
    17.500 T   0.100000E+01
    17.600 T   0.100000E+01
    17.700 T   0.100000E+01
    17.800 T   0.100000E+01
    17.900 T   0.100000E+01
    18.000 T   0.100000E+01
    18.100 T   0.100000E+01
    18.200 T   0.100000E+01
    18.300 T   0.100000E+01
    18.400 T   0.100000E+01
    18.500 T   0.100000E+01
    18.600 T   0.100000E+01
    18.700 T   0.100000E+01
    18.800 T   0.100000E+01
    18.900 T   0.100000E+01
    19.000 T   0.100000E+01
    19.100 T   0.100000E+01
    19.200 T   0.100000E+01
    19.300 T   0.100000E+01
    19.400 T   0.100000E+01
    19.500 T   0.100000E+01
    19.600 T   0.100000E+01
    19.700 T   0.100000E+01
    19.800 T   0.100000E+01
    19.900 T   0.100000E+01
    20.000 T   0.100000E+01
